	"Cancer Sites"	"Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Descending Colon"	"21047"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	695648	0.00
	"Descending Colon"	"21047"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1460639	Suppressed
	"Descending Colon"	"21047"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8329334	Suppressed
	"Descending Colon"	"21047"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	685056	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1802545	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8192397	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	195917	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	701969	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1785843	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8625852	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	770496	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1588857	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8012850	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	720044	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1488070	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8363715	Suppressed
	"Descending Colon"	"21047"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	185609	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	704395	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1865524	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	725391	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1873092	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8749568	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	783164	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1607122	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8008879	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	180356	0.00
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740179	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1522044	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8384889	Suppressed
	"Descending Colon"	"21047"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	715732	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	0	1906528	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8327632	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740774	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1937758	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8803235	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	167764	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	801076	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1638249	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8031834	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	182631	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	764751	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1568287	0.00
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8421544	Suppressed
	"Descending Colon"	"21047"	"2013"	"2013"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	192436	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	723705	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1918919	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8324411	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	205137	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	751654	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1967515	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8808541	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	170689	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	830936	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1697158	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8112408	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	186463	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	796837	0.00
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1641795	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8519885	Suppressed
	"Descending Colon"	"21047"	"2014"	"2014"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	191744	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	730700	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1892436	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8233212	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	203054	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	758250	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1954931	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8728699	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	175082	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	861557	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1767592	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	Suppressed	8218027	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	191395	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	831042	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1727399	0.00
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	Suppressed	8629074	Suppressed
	"Descending Colon"	"21047"	"2015"	"2015"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	174104	0.00
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	0	659089	0.00
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1729210	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8068476	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	190981	0.00
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	0	675384	0.00
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1694914	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	16	8512391	0.19
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	Suppressed	164345	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	753885	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1574098	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	39	7990881	0.49
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	176402	0.00
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	695648	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1460639	Suppressed
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	31	8329334	0.37
	"Sigmoid Colon"	"21048"	"2010"	"2010"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	179574	0.00
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	685056	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1802545	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8192397	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	195917	0.00
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	701969	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1785843	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8625852	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	165397	0.00
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	770496	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1588857	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	43	8012850	0.54
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	178562	0.00
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	720044	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1488070	Suppressed
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	29	8363715	0.35
	"Sigmoid Colon"	"21048"	"2011"	"2011"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	185609	0.00
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	704395	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1865524	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8294123	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	201645	0.00
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	725391	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	Suppressed	1873092	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	Suppressed	8749568	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"20-24 years"	"20-24"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	166441	0.00
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	783164	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1607122	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	45	8008879	0.56
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	Suppressed	180356	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740179	Suppressed
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	0	1522044	0.00
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	38	8384889	0.45
	"Sigmoid Colon"	"21048"	"2012"	"2012"	"25-29 years"	"25-29"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	Suppressed	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	0	189687	0.00
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	Suppressed	715732	Suppressed
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	Suppressed	1906528	Suppressed
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	Suppressed	8327632	Suppressed
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	0	Not Applicable	Not Applicable
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	0	204438	0.00
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	Suppressed	740774	Suppressed
	"Sigmoid Colon"	"21048"	"2013"	"2013"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	0	1937758	0.00
